Year,Month,Day,Temperature,Humidity,Wind Speed,Pressure,Precipitation
2013,03,9,14.0,82.0,19.0,985.0,0.00
2013,03,10,11.5,85.3,20.8,985.5,0.00
2013,03,11,12.5,77.0,30.5,988.4,0.00
2013,03,12,10.7,95.0,4.2,984.5,0.00
2013,03,16,10.0,94.0,7.0,989.9,0.00
2013,03,17,14.8,90.4,19.0,978.1,0.00
2013,03,19,11.0,95.6,12.0,979.7,0.00
2013,03,22,13.4,80.8,13.0,985.8,0.00
2013,03,23,11.0,88.0,19.0,980.1,0.00
2013,03,24,9.0,100.0,13.0,984.0,0.00
2013,03,25,13.0,94.0,30.0,991.8,0.00
2013,03,26,15.4,89.4,23.8,985.4,0.00
2013,03,27,14.0,94.0,22.0,983.0,0.00
2013,03,28,13.8,91.0,12.0,989.1,0.00
2013,03,29,16.0,94.0,28.0,991.2,0.00
2013,03,31,13.0,94.0,7.0,986.0,0.00
2013,04,1,15.3,73.8,19.8,986.7,0.00
2013,04,2,10.0,94.0,6.0,989.9,0.00
2013,04,3,12.1,88.9,12.8,979.5,0.00
2013,04,4,13.0,82.5,10.0,980.1,0.00
2013,04,8,14.8,66.8,11.5,992.6,0.00
2013,04,10,17.0,82.0,20.0,996.7,0.00
2013,04,11,16.0,88.0,22.0,993.8,0.00
2013,04,12,11.0,94.0,2.0,997.7,0.00
2013,04,13,8.3,100.0,0.7,998.3,0.00
2013,04,27,16.0,55.0,20.0,987.9,0.00
2013,04,28,16.0,29.0,33.0,987.9,0.00
2013,04,29,10.8,72.6,17.1,986.1,0.00
2013,04,30,8.5,93.0,0.0,989.4,0.00
2013,05,14,26.0,36.0,24.0,987.9,0.00
2013,05,15,14.9,81.5,16.6,982.5,0.00
2013,05,17,12.2,83.4,27.2,979.7,0.00
2013,05,18,17.0,48.0,41.0,992.8,0.00
2013,05,20,17.0,48.0,9.0,995.7,0.00
2013,05,21,17.2,52.2,5.5,994.6,0.00
2013,05,22,21.3,48.0,5.4,996.0,0.00
2013,05,23,21.8,53.1,9.6,994.1,0.00
2013,05,24,22.6,50.9,9.6,992.7,0.00
2013,05,25,22.8,47.8,12.4,993.7,0.00
2013,05,26,18.8,55.1,18.2,992.4,0.00
2013,05,27,16.9,56.3,17.8,990.5,0.00
2013,05,28,18.4,51.4,18.5,991.2,0.00
2013,05,29,16.6,51.7,23.8,996.2,0.00
2013,05,30,18.6,44.5,10.1,996.5,0.00
2013,05,31,22.3,35.5,12.2,996.4,0.00
2013,06,1,21.8,36.8,5.3,997.5,0.00
2013,06,2,23.6,36.7,8.3,995.0,0.00
2013,06,3,25.3,33.6,6.2,992.3,0.00
2013,06,4,25.4,37.2,5.3,989.4,0.00
2013,06,5,25.5,30.4,10.8,989.0,0.00
2013,06,6,17.9,64.7,17.9,994.5,0.00
2013,06,7,16.1,71.2,16.4,994.9,0.00
2013,06,8,16.1,71.0,17.7,995.3,0.00
2013,06,9,16.7,74.1,18.7,995.4,0.00
2013,06,10,17.7,70.1,11.8,997.8,0.00
2013,06,11,22.1,56.9,8.9,999.0,0.00
2013,06,12,25.3,55.3,9.4,998.1,0.00
2013,06,13,26.1,46.1,12.8,995.2,0.00
2013,06,14,25.0,44.2,12.3,993.8,0.00
2013,06,15,24.4,38.3,9.6,993.5,0.00
2013,06,16,24.4,44.5,12.7,990.6,0.00
2013,06,17,20.4,49.8,26.1,991.3,0.00
2013,06,18,17.5,71.8,14.4,991.1,0.00
2013,06,19,21.4,50.1,16.5,994.1,0.00
2013,06,20,21.9,51.8,12.1,995.5,0.00
2013,06,21,23.4,52.8,14.4,995.9,0.00
2013,06,22,26.6,42.8,6.3,997.6,0.00
2013,06,23,29.5,38.7,7.8,995.3,0.00
2013,06,24,29.6,33.5,9.8,995.1,0.00
2013,06,25,30.4,29.4,5.3,995.1,0.00
2013,06,26,29.4,37.7,4.6,995.0,0.00
2013,06,27,28.6,36.3,4.3,995.4,0.00
2013,06,28,29.7,29.4,8.8,996.2,0.00
2013,06,29,28.9,35.1,9.0,997.2,0.00
2013,06,30,29.9,33.2,5.1,993.8,0.00
2013,07,1,30.4,30.7,10.5,990.7,0.00
2013,07,2,24.9,48.8,12.8,993.3,0.00
2013,07,3,28.4,42.3,5.1,994.9,0.00
2013,07,4,32.5,37.9,6.7,994.0,0.00
2013,07,5,32.8,37.2,5.4,994.5,0.00
2013,07,6,32.9,32.1,8.3,995.6,0.00
2013,07,7,33.1,31.2,5.0,995.0,0.00
2013,07,8,32.6,31.1,5.3,994.2,0.00
2013,07,9,33.0,26.2,11.1,992.4,0.00
2013,07,10,32.0,20.0,12.1,989.6,0.00
2013,07,11,27.1,47.8,11.3,988.1,0.00
2013,07,12,25.5,58.8,13.7,991.7,0.00
2013,07,13,22.4,72.0,10.5,994.9,0.00
2013,07,14,25.8,57.2,11.1,995.2,0.00
2013,07,15,24.6,62.4,10.9,996.1,0.00
2013,07,16,27.5,45.6,10.9,996.2,0.00
2013,07,17,29.3,36.2,11.3,995.9,0.00
2013,07,18,27.9,50.1,8.1,994.2,0.00
2013,07,19,28.0,46.4,10.7,991.7,0.00
2013,07,20,26.7,49.5,12.9,990.9,0.00
2013,07,21,25.8,47.8,12.0,992.9,0.00
2013,07,22,27.1,47.4,11.8,993.0,0.00
2013,07,23,26.5,45.0,11.4,993.0,0.00
2013,07,24,27.4,44.6,9.2,994.2,0.00
2013,07,25,26.7,54.5,17.1,993.1,0.00
2013,07,26,24.8,51.9,14.7,990.2,0.00
2013,07,27,22.7,53.1,14.7,990.4,0.00
2013,07,28,22.8,53.8,12.2,995.0,0.00
2013,07,29,24.6,44.0,3.2,1000.7,0.00
2013,07,30,28.4,39.8,4.7,997.9,0.00
2013,07,31,29.8,35.3,8.1,992.3,0.00
2013,08,1,29.4,36.8,8.8,989.6,0.00
2013,08,2,25.4,51.6,15.4,994.2,0.00
2013,08,3,24.2,45.5,10.2,996.6,0.00
2013,08,4,26.2,44.8,6.5,995.7,0.00
2013,08,5,26.3,41.4,10.6,993.8,0.00
2013,08,6,25.4,47.1,15.5,993.0,0.00
2013,08,7,24.2,47.5,18.2,991.9,0.00
2013,08,8,25.4,45.1,6.6,995.7,0.00
2013,08,9,28.9,37.1,9.8,998.1,0.00
2013,08,10,30.6,33.2,5.4,995.1,0.00
2013,08,11,31.0,37.3,7.5,992.1,0.00
2013,08,12,29.8,31.9,10.8,991.3,0.00
2013,08,13,27.9,45.3,6.2,991.2,0.00
2013,08,14,28.9,47.4,6.6,992.6,0.00
2013,08,15,30.3,45.4,9.5,993.5,0.00
2013,08,16,27.3,46.7,16.0,994.4,0.00
2013,08,17,28.3,44.9,7.6,993.1,0.00
2013,08,18,29.5,43.6,6.3,993.0,0.00
2013,08,19,31.4,39.3,5.4,994.2,0.00
2013,08,20,32.4,36.6,3.6,994.3,0.00
2013,08,21,32.1,21.7,12.0,994.3,0.00
2013,08,22,28.3,30.2,10.6,992.4,0.00
2013,08,23,26.7,43.6,12.8,991.2,0.00
2013,08,24,27.6,50.4,8.9,991.0,0.00
2013,08,25,28.9,41.6,8.3,988.5,0.00
2013,08,26,26.9,51.2,12.4,986.1,0.00
2013,08,27,26.4,53.8,5.6,989.6,0.00
2013,08,28,26.9,50.3,10.4,990.4,0.00
2013,08,29,24.9,62.4,10.2,993.4,0.00
2013,08,30,26.2,53.5,3.2,995.7,0.00
2013,08,31,27.0,43.2,3.6,996.8,0.00
2013,09,1,27.1,41.9,2.8,996.5,0.00
2013,09,2,27.4,42.7,4.0,997.5,0.00
2013,09,3,28.4,38.2,4.1,997.0,0.00
2013,09,4,27.6,45.9,5.6,993.7,0.00
2013,09,5,24.9,57.7,11.5,990.5,0.00
2013,09,6,24.8,57.5,7.5,990.3,0.00
2013,09,7,24.0,58.2,10.7,991.4,0.00
2013,09,8,23.0,44.3,9.7,997.6,0.00
2013,09,9,24.0,39.9,3.0,999.5,0.00
2013,09,10,24.8,36.6,6.1,996.1,0.00
2013,09,11,25.8,43.8,3.3,992.7,0.00
2013,09,12,27.1,38.9,4.8,994.9,0.00
2013,09,13,27.1,34.1,2.8,996.9,0.00
2013,09,14,26.5,44.2,5.9,995.1,0.00
2013,09,15,24.9,50.8,8.9,992.9,0.00
2013,09,16,25.9,47.8,10.0,991.3,0.00
2013,09,17,23.0,58.9,9.9,992.1,0.00
2013,09,18,24.1,53.1,11.3,992.7,0.00
2013,09,19,24.3,50.4,5.8,993.4,0.00
2013,09,20,26.1,40.3,5.8,994.3,0.00
2013,09,21,26.6,36.5,3.3,996.6,0.00
2013,09,22,26.6,38.0,6.5,997.2,0.00
2013,09,23,27.4,39.3,10.1,994.4,0.00
2013,09,24,25.1,58.3,9.9,992.9,0.00
2013,09,25,23.0,58.1,6.4,990.8,0.00
2013,09,26,23.9,60.6,12.2,990.3,0.00
2013,09,27,23.6,62.4,20.9,987.6,0.00
2013,09,28,20.4,82.3,22.6,986.1,0.00
2013,09,29,20.6,78.7,16.8,989.9,0.00
2013,09,30,22.6,91.1,18.7,988.3,0.00
2013,10,1,23.0,70.6,15.1,990.1,0.00
2013,10,2,24.5,64.5,11.1,987.3,0.00
2013,10,3,24.1,59.2,12.4,988.9,0.00
2013,10,4,19.5,77.8,9.2,995.7,0.00
2013,10,5,21.1,62.0,4.7,999.8,0.00
2013,10,6,22.1,54.3,7.0,998.2,0.00
2013,10,7,21.9,51.1,4.2,997.0,0.00
2013,10,8,22.0,52.1,3.9,997.1,0.00
2013,10,9,21.2,55.3,5.9,995.6,0.00
2013,10,10,22.2,50.9,4.3,992.8,0.00
2013,10,11,21.1,47.9,9.6,990.9,0.00
2013,10,12,16.9,70.1,10.1,995.6,0.00
2013,10,13,19.2,60.7,10.1,999.0,0.00
2013,10,14,17.9,71.1,3.1,998.8,0.00
2013,10,15,18.5,80.7,6.5,999.9,0.00
2013,10,16,17.9,79.0,3.0,1000.3,0.00
2013,10,17,18.6,71.0,2.5,994.6,0.00
2013,10,18,18.5,69.1,8.4,992.3,0.00
2013,10,19,18.1,92.0,6.1,993.7,0.00
2013,10,20,18.2,80.8,1.8,997.3,0.00
2013,10,21,18.9,75.7,7.7,993.3,0.00
2013,10,22,17.9,89.0,20.4,986.9,0.00
2013,10,23,19.3,82.4,7.2,993.4,0.00
2013,10,24,20.6,85.7,20.3,989.4,0.00
2013,10,25,16.5,96.2,7.6,989.5,0.00
2013,10,26,15.2,90.0,1.5,997.1,0.00
2013,10,27,15.6,83.9,2.4,1001.4,0.00
2013,10,28,15.2,86.6,5.0,997.5,0.00
2013,10,29,14.1,61.5,14.2,1000.3,0.00
2013,10,30,14.1,60.6,2.1,1001.1,0.00
2013,10,31,12.6,70.1,1.6,1002.1,0.00
2013,11,1,12.6,74.3,1.7,1001.7,0.00
2013,11,2,14.1,84.7,3.1,999.1,0.00
2013,11,3,16.6,80.0,6.9,999.1,0.00
2013,11,4,16.1,77.9,22.1,998.5,0.00
2013,11,5,18.3,78.6,18.9,1000.3,0.00
2013,11,6,14.8,92.2,3.6,999.8,0.00
2013,11,7,14.2,89.0,3.7,999.1,0.00
2013,11,8,16.7,79.5,14.2,999.0,0.00
2013,11,9,13.3,63.0,13.0,1004.9,0.00
2013,11,10,13.5,78.7,5.1,1006.3,0.00
2013,11,11,14.8,72.6,3.4,1002.9,0.00
2013,11,12,16.3,69.6,3.4,999.1,0.00
2013,11,13,15.9,73.5,8.9,998.4,0.00
2013,11,14,15.2,61.9,8.3,1003.0,0.00
2013,11,15,12.2,57.8,10.9,999.6,0.00
2013,11,16,9.1,59.4,8.3,995.7,0.00
2013,11,17,9.8,69.8,5.4,993.5,0.00
2013,11,18,10.6,72.9,13.7,989.6,0.00
2013,11,19,12.0,68.6,11.4,992.3,0.00
2013,11,20,9.8,60.8,4.3,997.5,0.00
2013,11,21,6.8,77.6,11.8,993.7,0.00
2013,11,22,8.8,94.8,1.9,990.6,0.00
2013,11,23,7.8,85.1,9.0,992.8,0.00
2013,11,24,7.8,67.3,5.1,994.9,0.00
2013,11,25,8.3,63.3,5.4,999.8,0.00
2013,11,26,7.1,65.8,5.8,1000.0,0.00
2013,11,27,7.7,66.3,6.6,999.2,0.00
2013,11,28,7.1,72.0,9.5,1001.5,0.00
2013,11,29,8.1,65.6,5.3,1004.7,0.00
2013,11,30,7.3,68.8,2.9,998.5,0.00
2013,12,1,7.6,56.2,7.5,997.0,0.00
2013,12,2,6.9,63.5,2.3,998.1,0.00
2013,12,3,7.9,61.2,6.9,1001.9,0.00
2013,12,4,9.5,70.8,7.1,1004.2,0.00
2013,12,5,7.8,77.6,3.0,1004.9,0.00
2013,12,6,8.5,69.4,3.6,1002.6,0.00
2013,12,7,6.9,71.8,1.5,1001.8,0.00
2013,12,8,5.9,73.7,0.3,1003.9,0.00
2013,12,9,6.7,75.8,6.5,1005.8,0.00
2013,12,10,8.9,68.9,15.3,1004.9,0.00
2013,12,11,10.3,62.1,15.6,1004.2,0.00
2013,12,12,11.3,66.9,5.7,1006.1,0.00
2013,12,13,11.7,93.8,1.8,1005.5,0.00
2013,12,14,10.3,89.2,4.1,1008.2,0.00
2013,12,15,9.0,82.5,4.9,1008.4,0.00
2013,12,16,8.1,83.4,4.8,1004.6,0.00
2013,12,17,11.8,78.2,5.3,1003.9,0.00
2013,12,18,10.9,88.5,8.4,1004.5,0.00
2013,12,19,12.6,89.4,23.9,996.8,0.00
2013,12,20,8.4,63.0,10.3,1008.1,0.00
2013,12,21,5.9,77.4,3.2,1009.7,0.00
2013,12,22,4.8,84.1,0.5,1009.4,0.00
2013,12,23,8.1,80.5,4.5,1004.3,0.00
2013,12,24,14.1,85.1,37.0,988.6,0.00
2013,12,25,10.7,88.4,27.2,982.9,0.00
2013,12,26,11.1,82.9,12.9,997.5,0.00
2013,12,27,14.4,87.5,19.1,993.7,0.00
2013,12,28,10.1,77.3,18.9,998.1,0.00
2013,12,29,6.0,84.3,3.0,1007.7,0.00
2013,12,30,5.3,89.5,1.6,1006.8,0.00
2013,12,31,9.0,95.5,5.0,1000.2,0.00
2014,01,1,12.3,89.9,13.6,996.6,0.00
2014,01,2,14.3,95.6,20.8,994.1,0.00
2014,01,3,14.4,92.1,14.0,997.4,0.00
2014,01,4,11.8,86.1,33.8,995.9,0.00
2014,01,5,12.1,82.7,12.2,1001.7,0.00
2014,01,6,12.9,82.1,10.4,997.5,0.00
2014,01,7,14.6,80.3,9.7,996.9,0.00
2014,01,8,12.4,79.4,8.1,996.2,0.00
2014,01,9,13.1,72.9,3.7,995.6,0.00
2014,01,10,11.1,84.1,2.6,991.9,0.00
2014,01,11,9.0,91.4,1.4,995.5,0.00
2014,01,12,12.3,90.6,6.4,1001.5,0.00
2014,01,13,10.7,81.0,15.7,1001.7,0.00
2014,01,14,12.9,88.1,23.4,998.0,0.00
2014,01,15,12.8,89.7,11.5,994.8,0.00
2014,01,16,10.4,83.5,13.1,990.6,0.00
2014,01,17,10.1,80.6,16.9,978.1,0.00
2014,01,18,10.3,82.7,19.3,975.9,0.00
2014,01,19,9.4,72.7,23.6,982.6,0.00
2014,01,20,9.4,81.8,12.9,997.9,0.00
2014,01,21,11.0,90.3,13.8,996.2,0.00
2014,01,22,12.5,78.3,19.0,994.6,0.00
2014,01,23,10.1,66.3,9.5,1004.7,0.00
2014,01,24,9.3,84.1,12.8,1006.7,0.00
2014,01,25,13.4,75.3,15.2,1005.2,0.00
2014,01,26,9.5,93.6,11.7,1004.8,0.00
2014,01,27,11.6,75.3,28.1,997.6,0.00
2014,01,28,10.1,89.0,24.5,990.1,0.00
2014,01,29,9.4,74.5,21.3,981.6,0.00
2014,01,30,8.7,72.6,17.0,992.1,0.00
2014,01,31,13.2,84.9,17.2,992.7,0.00
2014,02,1,11.7,74.3,26.4,994.3,0.00
2014,02,2,7.1,74.3,1.9,998.8,0.00
2014,02,3,10.1,75.7,21.2,990.8,0.00
2014,02,4,11.2,84.4,23.2,991.0,0.00
2014,02,5,12.7,81.0,16.1,992.1,0.00
2014,02,6,14.1,86.5,26.3,988.2,0.00
2014,02,7,10.3,87.4,18.1,998.5,0.00
2014,02,8,12.2,84.0,27.9,991.1,0.00
2014,02,9,11.3,91.7,25.4,983.0,0.00
2014,02,10,8.4,70.5,29.6,995.0,0.00
2014,02,11,10.0,93.3,23.9,994.9,0.00
2014,02,12,12.5,94.4,10.0,997.8,0.00
2014,02,13,16.0,88.8,21.8,997.7,0.00
2014,02,14,14.9,84.2,22.2,990.4,0.00
2014,02,15,11.1,79.6,10.9,991.3,0.00
2014,02,16,9.0,69.5,6.6,995.5,0.00
2014,02,17,9.1,77.9,4.9,989.8,0.00
2014,02,18,10.8,71.9,13.3,993.6,0.00
2014,02,19,11.2,73.1,8.6,1000.9,0.00
2014,02,20,13.3,90.0,15.0,1000.0,0.00
2014,02,21,10.3,70.1,15.3,1001.5,0.00
2014,02,22,9.8,78.9,5.1,1003.9,0.00
2014,02,23,11.7,69.1,14.9,992.9,0.00
2014,02,24,11.2,72.2,17.3,996.3,0.00
2014,02,25,11.7,82.1,14.2,1000.8,0.00
2014,02,26,11.3,71.7,14.4,1006.0,0.00
2014,02,27,13.0,88.4,11.3,1008.0,0.00
2014,02,28,12.7,77.4,22.9,1003.4,0.00
2014,03,1,14.0,89.1,30.3,991.5,0.00
2014,03,2,14.4,85.3,33.3,991.3,0.00
2014,03,3,12.1,65.8,31.6,994.8,0.00
2014,03,4,11.6,73.9,20.6,998.5,0.00
2014,03,5,15.3,74.0,15.8,997.0,0.00
2014,03,6,12.8,78.3,3.1,998.5,0.00
2014,03,7,15.8,68.1,10.7,998.4,0.00
2014,03,8,16.4,57.7,12.9,996.5,0.00
2014,03,9,15.5,55.1,15.1,996.9,0.00
2014,03,10,14.3,50.7,14.9,996.4,0.00
2014,03,11,14.7,50.3,7.7,995.0,0.00
2014,03,12,14.8,52.1,10.9,999.5,0.00
2014,03,13,13.5,61.6,8.1,1002.0,0.00
2014,03,14,13.6,63.6,5.4,1004.0,0.00
2014,03,15,14.6,56.8,3.3,1005.3,0.00
2014,03,16,15.8,53.0,2.4,1001.6,0.00
2014,03,17,16.6,54.1,4.6,999.4,0.00
2014,03,18,14.3,71.0,8.7,998.8,0.00
2014,03,19,15.6,66.4,5.4,997.0,0.00
2014,03,20,14.4,77.4,9.2,997.7,0.00
2014,03,21,14.0,76.1,9.4,999.1,0.00
2014,03,22,14.2,66.5,23.3,996.7,0.00
2014,03,23,11.5,60.8,8.4,999.6,0.00
2014,03,24,12.0,76.6,16.3,1000.5,0.00
2014,03,25,12.6,71.9,29.5,1003.7,0.00
2014,03,26,12.2,54.1,21.4,997.6,0.00
2014,03,27,10.6,66.2,10.3,989.3,0.00
2014,03,28,9.8,84.8,7.5,982.2,0.00
2014,03,29,12.2,73.7,5.2,982.4,0.00
2014,03,30,12.3,76.8,12.8,989.4,0.00
2014,03,31,14.3,84.5,17.3,988.5,0.00
2014,04,1,15.7,73.3,23.2,982.4,0.00
2014,04,2,13.0,83.9,11.8,978.1,0.00
2014,04,3,10.9,86.2,11.3,984.4,0.00
2014,04,4,12.6,80.4,11.2,997.9,0.00
2014,04,5,17.6,84.1,13.7,999.7,0.00
2014,04,6,17.1,86.8,4.6,997.9,0.00
2014,04,7,17.2,81.8,3.3,996.1,0.00
2014,04,8,21.4,63.4,4.0,996.9,0.00
2014,04,9,21.9,61.8,11.6,995.5,0.00
2014,04,10,21.3,61.9,9.5,992.4,0.00
2014,04,11,19.3,68.4,7.9,990.9,0.00
2014,04,12,16.4,81.9,11.1,992.7,0.00
2014,04,13,19.7,72.7,6.7,995.9,0.00
2014,04,14,20.4,60.0,7.0,992.2,0.00
2014,04,15,18.9,66.4,8.4,993.0,0.00
2014,04,16,19.9,67.4,5.4,995.5,0.00
2014,04,17,22.1,62.9,5.7,994.1,0.00
2014,04,18,17.4,86.7,17.2,992.2,0.00
2014,04,19,16.1,69.2,17.6,987.3,0.00
2014,04,20,14.2,81.6,8.2,982.4,0.00
2014,04,21,15.4,82.6,12.7,982.8,0.00
2014,04,22,15.6,71.5,10.1,994.5,0.00
2014,04,23,16.3,76.6,9.3,998.7,0.00
2014,04,24,13.8,77.1,20.2,997.8,0.00
2014,04,25,14.4,65.6,12.2,1002.1,0.00
2014,04,26,15.7,80.5,17.5,999.6,0.00
2014,04,27,16.9,61.0,10.3,998.5,0.00
2014,04,28,19.1,59.7,12.1,996.0,0.00
2014,04,29,19.3,60.5,9.6,994.5,0.00
2014,04,30,21.5,54.0,10.0,993.6,0.00
2014,05,1,22.0,55.1,8.0,993.5,0.00
2014,05,2,23.5,40.7,8.4,993.5,0.00
2014,05,3,21.6,36.3,8.2,993.3,0.00
2014,05,4,22.7,40.6,4.8,990.9,0.00
2014,05,5,24.4,44.3,6.3,989.9,0.00
2014,05,6,25.0,44.4,8.8,992.7,0.00
2014,05,7,20.8,63.8,7.9,995.6,0.00
2014,05,8,22.8,57.4,12.5,995.9,0.00
2014,05,9,24.1,54.2,7.9,996.4,0.00
2014,05,10,25.3,51.4,13.6,996.4,0.00
2014,05,11,24.4,47.3,11.4,995.1,0.00
2014,05,12,23.8,43.1,11.2,992.4,0.00
2014,05,13,23.9,37.9,5.7,994.8,0.00
2014,05,14,25.4,40.8,16.4,997.5,0.00
2014,05,15,26.3,40.0,13.6,994.1,0.00
2014,05,16,24.3,37.4,9.6,990.1,0.00
2014,05,17,23.4,46.0,4.3,988.6,0.00
2014,05,18,23.6,45.7,11.8,987.1,0.00
2014,05,19,18.8,55.9,20.9,984.4,0.00
2014,05,20,15.9,59.5,15.4,986.2,0.00
2014,05,21,14.3,72.8,25.9,985.7,0.00
2014,05,22,16.7,62.9,18.7,993.8,0.00
2014,05,23,17.7,57.7,14.9,994.7,0.00
2014,05,24,17.2,52.1,9.8,992.4,0.00
2014,05,25,16.4,53.4,16.2,994.5,0.00
2014,05,26,17.9,45.5,11.4,998.2,0.00
2014,05,27,18.2,51.9,16.1,996.6,0.00
2014,05,28,19.6,57.8,24.9,996.1,0.00
2014,05,29,20.1,58.9,16.5,997.7,0.00
2014,05,30,21.5,50.2,14.6,996.6,0.00
2014,05,31,22.5,41.8,12.4,994.5,0.00
2014,06,1,23.1,36.3,9.3,996.2,0.00
2014,06,2,24.8,40.4,11.3,996.2,0.00
2014,06,3,23.1,53.9,15.8,995.3,0.00
2014,06,4,21.6,52.9,19.4,993.1,0.00
2014,06,5,20.6,49.1,7.3,990.2,0.00
2014,06,6,21.1,59.8,16.1,988.5,0.00
2014,06,7,21.7,53.4,11.3,993.5,0.00
2014,06,8,21.9,48.5,12.1,996.4,0.00
2014,06,9,21.1,55.4,13.9,996.3,0.00
2014,06,10,22.0,47.1,6.8,995.2,0.00
2014,06,11,26.4,42.8,6.8,995.1,0.00
2014,06,12,29.8,37.1,10.0,996.2,0.00
2014,06,13,30.9,33.9,4.8,994.3,0.00
2014,06,14,32.9,27.4,7.5,990.4,0.00
2014,06,15,28.4,26.2,10.1,990.1,0.00
2014,06,16,27.6,27.9,7.1,989.4,0.00
2014,06,17,25.8,58.1,12.8,990.7,0.00
2014,06,18,25.3,57.6,13.2,992.3,0.00
2014,06,19,23.8,50.9,9.5,992.6,0.00
2014,06,20,21.9,52.7,10.9,992.4,0.00
2014,06,21,23.9,46.4,15.3,992.9,0.00
2014,06,22,22.3,52.7,9.3,994.8,0.00
2014,06,23,20.5,67.3,9.4,994.9,0.00
2014,06,24,20.1,70.2,14.3,993.8,0.00
2014,06,25,22.3,64.5,13.9,994.7,0.00
2014,06,26,23.3,52.0,10.8,994.3,0.00
2014,06,27,23.3,52.8,13.5,994.8,0.00
2014,06,28,23.4,52.8,20.8,994.8,0.00
2014,06,29,22.7,42.9,13.4,997.4,0.00
2014,06,30,23.5,49.1,11.2,995.5,0.00
2014,07,1,21.5,61.6,20.1,993.8,0.00
2014,07,2,18.5,74.6,11.4,993.4,0.00
2014,07,3,20.9,64.5,6.5,994.4,0.00
2014,07,4,24.7,57.9,10.7,995.1,0.00
2014,07,5,22.1,63.9,12.1,994.1,0.00
2014,07,6,20.9,77.9,16.8,994.3,0.00
2014,07,7,22.1,52.6,14.2,995.7,0.00
2014,07,8,25.5,45.0,8.8,995.3,0.00
2014,07,9,28.0,40.1,6.5,991.9,0.00
2014,07,10,28.6,29.6,8.3,993.0,0.00
2014,07,11,28.4,24.5,5.4,993.5,0.00
2014,07,12,29.6,28.1,3.9,992.2,0.00
2014,07,13,27.9,40.9,10.6,993.0,0.00
2014,07,14,28.2,43.9,7.2,993.1,0.00
2014,07,15,29.4,43.9,8.3,993.5,0.00
2014,07,16,31.1,39.9,6.3,992.6,0.00
2014,07,17,29.3,33.2,8.2,993.5,0.00
2014,07,18,24.6,46.4,17.1,991.6,0.00
2014,07,19,22.4,65.2,17.5,992.2,0.00
2014,07,20,23.1,56.2,15.3,997.1,0.00
2014,07,21,26.3,44.4,4.9,996.7,0.00
2014,07,22,29.3,38.2,6.3,992.1,0.00
2014,07,23,26.8,50.5,17.4,989.8,0.00
2014,07,24,24.7,53.9,13.8,989.3,0.00
2014,07,25,25.6,48.8,8.9,989.1,0.00
2014,07,26,27.0,50.0,7.6,991.3,0.00
2014,07,27,28.9,41.9,7.3,993.1,0.00
2014,07,28,27.4,47.3,16.3,992.4,0.00
2014,07,29,26.8,51.8,6.9,990.0,0.00
2014,07,30,29.3,39.0,11.1,990.2,0.00
2014,07,31,26.9,48.4,15.6,992.0,0.00
2014,08,1,24.2,51.8,20.2,991.5,0.00
2014,08,2,22.8,58.4,18.9,991.2,0.00
2014,08,3,24.5,57.5,6.4,991.2,0.00
2014,08,4,24.3,46.4,12.6,993.8,0.00
